Star Rating,Review Text
1,
5,
1,"After the update, it didn't work as what the app used to be! Just do the manual! Waste of time and money!"
5,
5,
5,
5,
4,Its nice
5,Nice
1,So far so weak signal. And the internet was so slow... What are you saying this is the fastest??? I need to open my vpn apps to work it out and giving me a nice connection... Poor smart... Give your best shot and i give you a six 🌟🌟🌟🌟🌟🌟
5,
5,
5,
5,Puta
4,Is your Free Games promo temporary???
5,
3,
1,
5,
3,
2,Palagi na lang update wala naman bagu lagi di man lang maka rebate ng load
5,
5,
5,
3,I guess this is it not meant for Broadband Sim since Famload is not an option here... then why does I kept on receiving text on my LTE modem to upgrade to this app? 🤔🤔
5,
5,
5,
5,verygood
4,
3,What the hell is wrong with this app? it is always updating almost everday... the hell
5,
5,
5,Its so good app ❤️
5,
5,
1,"Got scammed, if there's a new version i won't be able to use the app, not so convenient. They call it ""free stories"" and ""free videos"" even tho we deserved more than that. They once offer extra 2GB of data, but your youtube data will not be eaten first instead your youtube browsing will be deduced from the extra 2GB on top of your regular promo subscription, making it nonsense, since the youtube data refreshed every midnight."
1,I think it was a non sense app . I didn't saw what you are talking about !
5,Ok
1,Gb
3,
5,Happy
5,
5,
5,i registered my pocket wifi's mobile number and it is easy for me to register❤❤ best app
5,
4,
5,
5,
1,Globe offers 8gb for 99php..smart only gives 2gb...
5,
5,
5,希望再接再厉
4,
5,
5,
5,
5,
3,its good to me.
4,
5,
5,
5,Ok
5,
5,"Just wow,,"
5,Great app
5,
1,
5,
5,
4,
5,
2,Always crashes for me 2/5
5,
5,
5,The best
5,
5,
5,
5,Good
5,
5,
1,Its nakakainis
5,Great
5,
5,
5,more signal
5,Better
5,"okay na yung app, 5 star na.. sa dating 2 star..."
3,User friendly
5,Nice app smart and tnt keep up
2,
1,USELESS APP
5,
5,
5,Very nice
5,
5,
5,Thank you for this app super past 😘😘😘😘
5,
5,
5,Nice apps
5,
3,
5,Love it
5,Good
3,Better
4,some times no signal
5,
4,Quickly
5,
1,
5,
5,Very satisfactory
5,
5,
5,Maganda naman po. Ok sya
5,Yay! It keeps getting better and better! 👌
5,
5,Very nice
5,
5,
4,
5,Very useful I like it
5,
5,
4,I have great experience using smart.. Internet connection is fast even though we're at remote areas.😘
5,So fast and reliable app
5,
5,
5,
2,The app is not working if you reach zero data. You need to dial *143# to register to promo....
5,Ganda!
1,
4,Nice one
5,Useful App
5,Pretty amazing!
5,"I like this app, well there's a little bug on some cases, but you know i used to it, i really like the service of smart, good for gaming when on high signal, and not bad for downloading big files, lowest ping i can get in mobile legends is 18, while globe is at 40, you guys meet my expectation because my expectation is not that high, i hope it can get better before 2021, i love it even sometimes it's really slow."
5,
5,
5,
4,"okay na, yung bilis nalang problema ko, pero salamat"
5,
1,The app is Un organised. No more options for multiple accounts and it asks me an otp every time I use it. Worst update ever.
3,
5,
5,Nice apps
5,Amazing 👍😉
5,
5,Nice
5,
3,should have added gcash payment option.
1,тнєяєѕ α вυg ƒαιℓυяє ιη ѕѕℓ ℓιвяαяу.. ι ¢αηт ιηѕтαℓℓ
5,
5,
5,great network
4,Somewhat great
5,
5,
5,
1,Hindi pa ako successful sa smart Hina signal at matakaw sa load.
3,
5,Thank you so much SMART! Got my #DobleData 😇❤
5,
1,
4,
5,
5,
4,"The update fixed most of the old bugs but i can still be better. A suggestion for the promos like GigaVideo, GigaStories, GigaGames, instead of giving _ amount of data and 1gb free for select apps during the validity of the promo, It would be more beneficial for the users to have _ amount of data and have that free 1gb as a whole. For example GigaVideo 599 5gb open access+ 1gb free for 30 days, it would be better if the free 1gb would be 30gbs valid for 30 days especially during these times."
5,
5,
4,
5,Did not try it yet
5,
5,
5,
1,I can't subscribe. Why the loading is too long?
3,
5,
5,
1,Suddenly my instagram stories wont work even if i have free stories left
5,amazingggg!
5,Nice sana my free load pag nag download ng app
1,May pa update update pa kasi!
5,Please give me free data.
5,good
5,
5,
5,I gotchu it
5,
5,
5,Nice app
5,
5,
3,May additional load pero sa sobrang bagal ng internet hindi rin na cconsume lahat ewan.
5,
5,Good and success
5,Nice and easy
5,
3,
5,Amen ❤️ ❤️ ❤️
5,
5,
1,
5,
1,Promo choices do not appear on the menu screen. Please help.....
5,
5,maganda
5,May free load batoh
5,
5,
5,
1,i didn't get the promo about double your giga. i subcribe on giga 50 but the apps said i didnt subcribe any...
5,
4,"I like that it's very lightweight app so it has great performance. App is very simple/easy to use. However, it's only 4 stars because I don't like that it requires you to place your Smart sim to slot 1 of the phone and to use the data of that sim."
2,I give a two star because after few days of using it you cannot continue launch the app and you need to update it for you be able to launch again. After few days again the same thing will happen I get tired on updating this app for me ba eble to use this app. I hope the smart can fix this kind of problem ...
1,I had just instaled it and it says i an update.... NICE WORK SMART
5,ok
5,
4,
1,
4,rate
5,
5,
5,
5,
5,
5,
5,
5,
4,Slow signal
5,
5,nice app
3,
5,
5,nice app
5,
1,1star lng kc sabi my libre 1gb pagnag register ka ng GIGA sa app..pero wla nmn dumating sakin na 1GB kahit nag 24hours na sad nmn
1,
5,
5,
3,
5,
5,
4,Very nice
5,
5,
5,
5,
5,
3,Mobile number needs to be entered several times even if they say it's for one time only offering us with an OTP. So irritatingly inputting number for couple of times just to check the remaining balances for all the registered promos I had. I even ended up dialing *143# again to make my transaction.
4,
5,Nice app
5,
5,It's so good it can help me to not spend so much money!!!!
5,Super saya
5,
5,
5,The best app of smart .. I can easily check my balance
5,
5,
5,Very nice!!!
5,
4,
5,
5,
5,Good
5,
3,
5,
5,good
5,
1,Requires mobile data on cellular sim first. Meaning... before we can even use this app it requires us to spend first.
5,
5,
5,
5,
5,Very useful app
5,Nice very fast for buy load
5,Great update the subscription made easier thanks smart
3,
5,Nice
5,Good internet connection
4,
5,
4,Testing...
5,
5,Very Good
5,7u
5,
4,
1,Magnanakaw ng data smart
5,"Ohh this is really nice, very descriptive and clear in just one look."
4,Just wanna know. In giga video. The promo is 1gb a day for youtube and others watching app. +1 gb.. this 1gb is this the surfing (internet) ??.
1,..its not working for me.. 2 times ko na tong inistall pero sad to say ganon pa din di nag wowork talaga..
1,"I notice that this app is always having trouble. Always asking for new update. But, i just updated this a few days ago. I hope you will make some move for it. Thanks"
5,great and reliable thanks smart...
1,
5,
5,
5,
5,Awesome ☑️
5,Excellent
5,
4,
5,"Fast internet connection, very nice room love it.♥️"
5,
5,
5,
5,
2,
2,"When i entered my cellphone number , after a while it will have a message na something went wrong. Its my 3rd time installing the app. And its still same as the first time i install and used the app."
5,
4,
5,
5,friendly use
4,I did not recieve the double data
5,
5,
4,
5,ok
1,worlds most useless app. 🙂
5,Excellent
5,good nice app
3,Crashes sometimes. Not a great experience.
4,None
5,
5,
5,
5,
5,
2,Ggg
5,good
5,
1,PASENSYA NA KUNG DI TO RELATED SA APP. PERO TANGINA NAKAKABWISET. AYUSIN NYO SIGNAL NYO!!! TANGINA ANG MAHAL MAHAL NG NILOLOAD KO TAPOS MAG LALAG LANG? MGA GARAPAL KAYO SANA TALAGA MAIPASARA NA YANG SMART KAPAG DI PA NAAYOS YANG PUNYETANG SIGNAL NA YAN!!! GIGIL NYO LAHAT NG TAO EH
4,Di ko tlga alam kung paano makukuha ung promo... Any advice.. Nman po salamat
1,Total waste and rubbish app. No option to send Pasaload. Completely useless. Not user friendly.
5,i love this app
4,
5,
5,
3,
5,
1,
5,Ultra fast
5,
5,Very helpful app .. easy to top what you want
5,
5,Can you add the Call of Duty Mobile to your game list? Im not playing all the games include in the giga games.
5,This app is great everything is good and also i can manage my data consumption too!
1,This is the worst app ever rather focusing on app just make your data for 99 to 10gb data then you can make your people happy. Globe is doing it why can't you?
5,
1,ISA KAYONG MALAKING PUTANGINA. MAS LALO NYO LANG PINAHIHIRAPAN ANG CUSTOMERS NYO. UNA TINANGGAL NYO YUNG REGISTRATION NG PROMOS VIA TEXT KUNG SAAN MAS MADALI YUN PARA SA AMIN LALO NA'T SA WIFI NAKA INSERT ANG AMING SIM. PANGALAWA GUSTO NYO MAG INSTALL KAMI NG SMART APP NYONG BULOK PARA MAKAPAG REGISTER KASI WALA NAMANG DIALER ANG WIFI PERO HINDI NAMAN MAKAPAG REGISTER DAHIL WALA YUNG PART KUNG SAAN PWEDE MAG REGISTER. SANA MAIPASARA NA KAYO NG PRESIDENTE. BULOK NETWORK NYO
1,do not install
1,👎
1,👎
1,😂
1,
1,
1,
1,
1,
3,
4,
2,Uughui
5,
5,
5,
5,It easy and good for me to use
5,Now its stronger than before..
5,
3,
4,
5,Very informative about the usage of account
5,It's ok
5,Excellent condition
4,Good
4,Happy
3,"Works fine, my only gripe is that free mbs is consumed first before giga video data."
3,"Hi,im not yet receiving any info but i installed already..thats why i cant rate you the 5 stars."
5,
5,
5,
4,
5,
5,Awesome
5,
3,
5,good
5,
4,
5,
5,
5,likely
5,Subrang ok pasakin
5,
5,
4,
5,
5,Very cool and worth it
3,Very good
5,
5,I experience more joyful in this network
5,
5,Nice
5,
5,
5,
5,
5,Good
5,
5,It was so Very good
5,
1,Not bad
5,Amazing!
4,
4,
5,Awesome !!!😃
5,
4,
5,The best
5,
3,sana FREE VIDEOS FOR ALL! na naman next update pleaaase! ❤✊😭
5,
4,
5,
5,It EASY to use and no need to dial*123#
5,
3,
4,
1,
3,This app is convenient to me as a smart user.
1,I registered gigasurf99 on july 29 and promised to have extra data but it didn't came. I feel like mostly messages like this are scam. Please fix
4,
3,
1,
2,
5,
4,
3,
1,Your data is so slow
5,
5,
1,The new promos are good.. but i dont need those promos instead i need the internet connection to be more good thats all i need not the promos! Thats what the president is pointing... all people need the good internet connection!! Thanks
3,"Whenever I type my number it keeps saying ""failed to connect"" :(("
5,satisfying
1,Umay
5,
5,
5,the great apps
5,Nc apps
5,Sometimes too slow but can be
4,
3,Make this application working even when we are offline that would be excellent.Be smart enough.
5,😍😍😍
5,
5,
5,Thumbs up
4,"User-friendly, neat design."
4,
5,
5,
5,It's good apps
5,
1,Tangina smart ambagal
1,Corrupt
5,
5,
5,Ok
5,Love
2,No interesting feature.
5,
4,
5,
5,
5,
5,nice app at all
5,
5,MD rrr rrr r rrrr
5,
5,
1,I have a 200 load in the app and I can't use it to subscribe to any of the promos. I've been having this problem since Famload was removed but I tried everything I can and everything the internet suggested but it's still not working. I need it badly for work and Smart/PLDT is making it very hard for us.
2,"Poor,,ndi gumagana ng walang net or load,,"
5,
4,
5,Satisfied with the app
2,I wish this app will save my simcard for being barred
5,
3,"The new update is great but why does it always ask me to update it again and again. Everytime I open this app, it always telling me to update it or else it wont work. Please fixed that."
5,Its good
4,
5,All most 7year's
3,
5,Useful....!!!!
5,
5,
4,
5,
1,laggy
1,SA Hina Ng signal Ng smart Hindi din mapakinabangan tong app na to..
5,
5,OK
1,I uninstalled the app a minute after I installed it on my phone. It won't accept my TNT number. Oh come on. A very frustrating experience with this network. I hope you will get better before december.
5,
5,New SMART App its nice to use.
5,
5,Good
5,
5,
5,
5,Good Very satisfy
5,Nice
1,Poor
5,
5,
4,
5,Nice
4,paki alis yung NEW sa logo paka bulok tignan
5,
1,Pricy
4,
5,Love it
5,
4,Good ..but why always updating the apps inorder to use the apps again
5,
5,
5,Excellent
5,👍👍👍👍
4,
4,
5,
5,It's good
5,Great apps
5,
5,
5,Superb
4,Yeah
3,"Love it at first but when i updated the app, i can't register to any promos."
2,Nice job
5,
5,
1,thank your still
4,
1,"Your smart prepaid is not so simple to pay in as much thru Visa card i have to pay twice the 350Php, 30days-UNLIcall+text, quite impractical coz to payment should be for booking the 2, Filipino way of sucking small amount but a bigger number this will be a big amount?"
5,
5,
1,😝😝😝😝😝
3,
4,Great
1,
5,
5,Nice
2,This app is just focusing on their GIGA subscriptions you can't even check your other data plans like famload or surfmax it says no active promos. So most probably if you're not fan or not using GIGA promos you should not use the app instead.
5,
5,
1,app sucks
1,Tang ina niyo smart aanhin ko ng app niyo kung mabagal naman yung internet niyo. Tang ina niyo pag gumanda na serbisyo niyo baka gawin ko tong 5 star. Sa bagay magsasara naman na kayo sa December pag hindi niyo pa inayos yung internet niyo mga hinayupak.
5,
5,
5,
5,
4,Good
5,
5,
5,Verry good
5,
1,
5,
5,
5,Amazing
3,
5,
3,
5,
4,
3,nice
5,
5,
5,5 🌟 love it
5,Mas nakakatulong sa mabilis na pagreregister sa mga prom9 offer ng talk n text..
5,
4,
1,wth smart i loaded my number 50 using your app and registered aos 30 also using your app and you consumed all my regular 50 ? qnong clase naman yan buti 20 lang nakuha nyu magnanakaw
5,Ok
2,"Clarification! In 7days only 2gb in 99P . but i read 2gb araw2x then its great. But the problem is i think this smart is scamer you know why? They said 2gb araw2x in 7days but with in 4days ubos lahat ang data ko. Why smart??? At isa pa games lang gamit ko at sometimes videos in total of 900mb all lang nagamit everyday. But what happen, only 4days ubos na?"
3,
5,
5,
5,
5,
5,
5,
5,NIce
4,UWU
5,
5,Perfect app
3,
1,It doesn't matter how i get a big promo if the problem is the internet connection(slow internet connection) it's useless after all
5,I like this app <3 keep it up
5,Very useful. But a little request. If the network can give more data at the same amount like what globe does. Thank you
5,
4,You know guyss the smart app are so weird do you know why because my load balance is 10 so iwant to register facebook 10 but theres no facebook 10 only facebook 20
5,
5,
4,
5,GOOD
4,
5,
5,
5,
5,
5,
5,
5,
4,This app is so Great.Now i didnt need to dial*123#.But can I ask a question?Is PLDT prepaid sim different to other regular sim?
1,
5,Ehems
5,It is so helpful for me
3,Omu ok na ng kunti ..
1,If youre going to develop an app make sure it will be useful to your subscribers. New number should register and not ask for OTP again when that number already verified. Quite annoying and hassle for me.
5,
2,The app is fine actually. But asking for the number over and over again is quite annoying specially when we can't remember it. Hopefully you can read the sim number if it find her the requirement like the sim should be in sim 1 Dan - it is actually in sim 1
5,Nice. App.
5,
5,
1,No Famload
3,Its already 24 hours but i have not received the double data as what uv promise on august 2
5,
5,
5,Bravo
5,nc app i like it
1,The app update is so slow. 6mb but so slow.
5,
2,It can't saved my number on the app :(
5,maganda ang services na aking na eexperience sa smart data signal
1,To slow
5,Nice
4,Natuwa po ako sa promo nyong bago kahit di pa po ko ngloload nyam kasu nalungkot kasi ung games (PUBG MOBILE) na hinahanap ko na akala ko kasama sa included games sa promos nyo ay wala.. hayst kakalungkot.. sna meron kayonh promo for PUBGM
2,"The App is Good But CANT USE IT OFFLINE, YOU NEED DATA TO REGISTER IN MY EXPERIENCED."
5,
1,Keep asking for my number and otp. Useless app. Uninstall
4,
5,pls add coc10 in *123# tnt
5,
4,Sana malakas ang net
5,
1,the most annoying apps i ever encounter..too slow just like smart network..dont waste your time on this apps..damn!!!
4,This app is good!!! But please add Netflix in your giga video promo 1gb free video everyday.. 4 star for now..
5,It is a very useful app .
1,Pnakabulok n internet.... Dpat mgsara n kau!
3,
5,This app is so useful it makes life easier its so easy to use and user friendly i highly recommend to download this app thank you smart☺️
5,
1,"I love your Service so much and when you guys notified me about the ""FREE GAMES FOR ALL"" I READ it clear saying ""1gb everyday + extra 1 gb everyday for games"" so I load up quickly and when I register I received it was really fast and easy but it say 2gb for coc,aov,clash royal and fb gaming (I only play coc among those) it sucks you should have clarified it 😰😑"
5,
5,
4,Help me to support my application thanks
5,Very fast activation on the network
3,"App is broken, Wont let me renew my subscription. The only thing this app can be used for is to view your balance or recharge. Also have unnecessary functions like it keeps asking me for my number everytime I open the app and keeps asking me for a code which gets annoying. I dont know what the other's experiences are but so far for me the app is useless and a waste of space."
5,Nice apps
5,Regailrosec
5,
5,
5,
5,
5,
5,tried to log in to it but saying service temporarily unavailable. you dont have any declared downtime nor any pending updates and its not internet issue as I am making this comment online
5,Great smart
5,Because his goal os good
5,
5,Incredible app. That you can do up to you..
3,
5,Fine
4,
5,
5,
5,
1,SHUTDOWN SMART TELECOM HAHAHA
5,
2,Why smart don't have rewards promo?
5,
5,
5,
5,The best
5,
3,
5,Nice signal
5,
1,i dont this sim number. how can i load this sim. can you help to find this number
4,
3,
5,
5,
5,the best app
4,I like it!
5,
5,
4,
5,
1,not saving mobile number... always need to enter number and otp... its useless apps while you can use your mobile directly for smart promos...
3,
5,Great
5,
2,What is lacking is the description or content of a certain promo making it hard to choose right on the app.
4,
5,
5,
5,Excelenent
5,
5,Nice
5,Nice
5,mylenecuy
5,
5,
1,
4,"ill like the app it helps me register more faster and convineint but when I register to giga video 99 i didnt get my double the data and is says that there's a (total 7gb) but i didn't get it so you get 3 stars edit: it also feels like a scam that i register and didn't get my double the data, that's a boomer edit 2: do i send it via messenger or via facebook? edit 3: how do i message via messenger or facebook?"
1,I can't use this app
3,
5,
5,Nice app Smart
5,Nc app daling mag register..!! Sa app na to.
5,
1,Hangs
5,Very Good
3,
2,
5,
5,
5,
5,
5,
4,Ahahhahahhaha
5,
5,Amazing
1,"I just want to know why can't I get the GigaPro as offered. I have been trying to BUY GIGA VIDEO for SEVERAL TIMES yet it is always ending with DISAPPOINTMENT. The app would always show the message: THE APP IS NOT RESPONDING. Thus, this unfortunate encounter must be resolved. Your assistance in this regard will be highly appreciated if will be addressed immediately. Thank you."
5,
5,
3,
3,
5,Happy
1,Such a scam....2gb?????? Walay if dial to *123# 1gb every day and take note if you have shareable GB then you can stream...🤨😳😳😳😳 Uninstall any way scam scam sacam
4,
5,
1,Laging nag-uupdate dzuh
5,
5,
5,
5,
5,
5,
5,
5,Try
5,fast to regester the network
4,
5,ok
3,
5,Buggy
2,Need to know the remaining data no details of available features of subscribe promo unlike *123#. Please provide on this apps. One more thing you have remaining balances from your account when expiration ends everything was gone why should it not keep because you have already paid for it?
5,
5,The best
5,very nice
1,Bakit selected lng ung game grave kau smart ...basura ANG promo nue smart!!!! Lalo na ung giga games!!! Dapat lahat ng game kasali lahat kurap kau tlga dapat SA inyu binumbimba pwe!!!!
4,
5,
5,
5,
5,
4,
5,
5,
5,
5,"Have fulfilment, thanks"
5,
3,All the smart promos are not loading very well it makes me waste more time 🙁
5,
1,Grabe naman po mg consume ng data yung telecom nyo yung giga50 ko naging 407mb na lang agad kagabi lang ako nag paload tapos youtube lang gamit ko nabawasan pa rin ng mb grabe naman yang pang gugulang nyo sa tao pakiayos naman ng serbisyo madami na kayong napeperwisyo please lang paayos ng serbisyo nyo
5,
1,This is allowed for Roaming Abroad?! How to rigester
4,
3,No to everyday update
1,
5,very nice and good network
5,
3,
5,
5,
1,Super ganda ng app
5,
5,Nice di add more promo
5,
5,good app thank u
3,
1,
1,"""FREE VIDEO AND STORIES, FREE GAMES"" Nice bait to get more downloads."
2,"Apps is fun and easy to use but, No history for transaction top up? You should put history even the transaction is fail. Its just a pop up box, seriously? always try again when you top up using this apps. Come on smart you are better than this...."
5,
5,
2,"What is a trinet? What are these jargons? There isn't any FAQs or a help center. Hi, use your reply and add that to the app."
5,
5,
5,
5,
4,
5,usefull
3,I'll give 5 star if you stop forcing us to install update.
5,
5,
5,
5,
1,Terrible! Please philippines do something about it and this smart my god
4,
5,
1,Can youu pls pls get your network faster pababa na ng pababa rank ko sa ml sa lag
5,It's easy to used
5,
5,
5,
5,
5,Great apps its much better than *123# i can easy renew my subscription nice apps
5,
3,Ok naman sya na apps
5,Nice
5,wow
3,
5,Good
5,Nice app this app is inform u and assist .secured ur xtra load.i recommended to all of u to used this smart app.i promise u ...that is the best app for ur smart phone
5,
2,My problem of this app is i cant open it when i try to press i accept it just placed a sign error.. pls fix this problem
1,
5,
3,I wish you could provide unli data around low budget because it's too expensive.
4,
5,
5,
1,smart is anfair i have 1.02GB games but ut doesn't consume my GiGA games surf it consuming my YouTube subscription it so really anfair... last time i check my YouTube i have 2.01GB but when i chevk agaun after the i game mobile legend its go down to 1.97GB my YouTube data what us going in here smart..
5,Easy to use
5,Good
5,
5,
5,I love the free mb it gives everytime I registered to any promos. Thank you very much! Recommended it!
5,
5,Amazing features...I really like it all.
5,
5,
5,
5,Nice and good service
4,It's been so great
5,Nice app
4,First time user im not sure! The rate this app
5,
5,
5,good service and the best Talaga!
5,
5,
4,
5,
5,
5,
5,
4,"Very inconvenient to input the phone number everytime we open the App. And add more features to it, why should we waste data(mb) for opening the app it it's just the same as dialing *123# ?? Edited. From 2 stars to 4stars. We still need to turn on data for auto number detection, but if we will be using it to register to a promo per se, then turning mobile data before it will consume regular load."
1,
5,IT'S AWSOME THE *123# IS DUNK BUT THIS APP IS GREAT U COULD SEE UR BALANCE BUT I DIDN'T SEE PLUS 1GB
5,Hi. Can I ask if how can I retrieve my old SMART sim card?
5,
5,Ok
5,
5,
5,
5,
5,Good
4,Nice
5,amazing 👌
5,Great! Sana may additional Gb/data din kapag smart ang gamitin sa pagload. 😊
3,
1,
1,"Akala ko free games di pala, magpapaload ka paren pala."
5,
5,I have subscribed to a promo using this app and it was successful 😍😍
5,Awesome! So easy to get promos.
5,
5,
5,
5,
5,
5,👌
5,
5,
1,Just eno
1,it's a useless app. one thing I don't use may data I use my wifi connection but still getting warning this stupid msg. You're trying to access sites not included in your promo OR haven't subscribed to one yet.
2,they can't response the unlifb its hard to regester😥
5,
3,
2,"Installed and uninstalled. Hassle on entering my mobile number everytime I open the app. If you could just set up a pin to open the app insted of retyping our mobile number every now n then,I will reinstall the app."
5,
5,Good
5,Fast and easy to find promos
2,Very disappointed with the recent promos! Dapat may option din kayo sa app to choose kung anong app ang kasama sa freebies. Tulad ko na Facebook at YouTube iyong frequently used apps ko kaya iyong Giga promo subscription ko isang araw o two days lang ubos na. Consider this suggestion please!
5,Very nice
5,😊
4,
5,
3,
5,
4,
5,
5,
5,
1,"Gamitin ang icon ng i-edit para mag-pin, magdagdag o mag-delete ng mga clip."
